latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
37.9653705,23.7223321,Entire home/apt,78,1,1,0.44
37.9562845,23.7246899,Entire home/apt,58,1,1,0.86
37.9562845,23.7246899,Entire home/apt,75,1,1,0.86
37.96489273,23.72278213,Entire home/apt,84,1,1,0.49
37.9561816,23.71922182,Entire home/apt,76,1,1,0.31
37.9562845,23.7246899,Entire home/apt,75,1,1,0.51
37.9562845,23.7246899,Entire home/apt,101,1,1,0.77
37.99773276,23.77144435,Entire home/apt,73,1,1,0.51
37.9577562,23.7363426,Entire home/apt,50,1,1,0.94
37.99552843,23.72686178,Entire home/apt,47,1,1,0.42
37.9801116,23.7583186,Entire home/apt,66,1,1,0.25
37.9971858,23.7443283,Entire home/apt,30,1,1,0.39
37.99101,23.72309,Entire home/apt,40,1,1,0.39
37.9807216,23.7200988,Entire home/apt,100,1,1,0.29
37.9780303,23.7407143,Entire home/apt,59,1,1,0.53
37.9780303,23.7407143,Entire home/apt,88,1,1,0.48
37.9779014,23.7253736,Entire home/apt,54,1,1,0.5
37.98513,23.73053,Entire home/apt,80,1,1,0.3
37.9775296,23.72213,Entire home/apt,81,1,1,0.31
37.9776952,23.730336,Entire home/apt,100,1,1,0.29
37.9670088,23.7238233,Entire home/apt,112,1,1,0.65
38.00437058,23.73233138,Entire home/apt,83,1,1,0.32
37.9910481,23.7288897,Entire home/apt,42,1,1,0.4
37.995157,23.731152,Entire home/apt,46,1,1,0.41
37.984675,23.7398602,Entire home/apt,51,1,1,0.32
37.96599,23.74611,Entire home/apt,74,1,1,1
37.9775826,23.7266061,Entire home/apt,147,1,1,0.54
37.96960994,23.71489222,Entire home/apt,180,1,1,0.29
37.9703215,23.7315078,Entire home/apt,325,1,1,0.34
37.9857684,23.7245352,Entire home/apt,55,1,1,0.34
37.9857684,23.7245352,Entire home/apt,40,1,1,0.41
37.9767556,23.7290954,Entire home/apt,88,1,1,1
37.96665,23.7336,Entire home/apt,49,1,1,0.38
37.9824861,23.7287938,Entire home/apt,75,1,1,1
37.9634,23.73012,Entire home/apt,221,1,1,1
37.9539661,23.7260008,Entire home/apt,56,1,1,1
37.96164307,23.73934736,Entire home/apt,130,1,1,0.37
37.99036,23.73031,Entire home/apt,53,1,1,0.34
37.98378,23.74223,Entire home/apt,48,1,1,0.65
37.95655292,23.72668855,Entire home/apt,66,1,1,0.77
37.9814282,23.7223533,Entire home/apt,60,1,1,0.65
37.99342872,23.75779342,Entire home/apt,35,1,1,0.44
37.95674654,23.7368252,Entire home/apt,48,1,1,0.34
37.99568,23.72874,Entire home/apt,48,1,1,0.42
37.96797,23.75346,Entire home/apt,82,1,1,0.79
37.99055179,23.71734202,Entire home/apt,24,1,1,0.5
37.96116513,23.7399403,Entire home/apt,55,1,1,0.43
37.9863174,23.7220876,Entire home/apt,46,1,1,1
38.01668351,23.73366572,Entire home/apt,53,1,1,1
38.01668761,23.7335611,Entire home/apt,51,1,1,1
38.01634786,23.73516017,Entire home/apt,53,1,1,0.56
37.97865044,23.73543787,Entire home/apt,60,1,1,0.73
37.9678595,23.7021288,Entire home/apt,58,1,1,0.73
37.97547,23.74366,Entire home/apt,307,1,1,0.7
37.96678112,23.75154084,Entire home/apt,83,1,1,0.63
37.9767659,23.7456965,Entire home/apt,84,1,1,0.7
37.9629482,23.7179647,Entire home/apt,40,1,1,0.7
37.96796,23.75216,Entire home/apt,89,1,1,0.58
37.99166,23.76501,Entire home/apt,43,1,1,1
37.9686814,23.7522892,Entire home/apt,61,1,1,0.47
37.9896789,23.7289924,Entire home/apt,72,1,1,0.71
37.979573,23.7441077,Entire home/apt,45,1,1,0.5
38.0020785,23.7449882,Entire home/apt,65,1,1,0.7
